PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,PF10,PF11,PF12,PF13,PF14,PF15,PF16,PF17,PF18,PF19,PF20,PF21,PF22,PF23,PF24,PF25,PF26,PF27,PF28,PF29,PF30,PF31,PF32,PF33,PF34,PF35,PF36,PF37,PF38,PF39,PF40,PF41,PF42,PF43,Cluster,Label
-11.08980341,-14.8952969,-2.842782626,-3.132889937,-1.387127475,7.063313578,-2.877034229,2.593044583,-1.717821921,1.355108447,-2.886556074,4.347713958,5.511996056,3.14752135,-1.174506188,-2.378828248,-3.033414747,-4.432846306,4.397502291,1.603251538,-3.004685343,1.870625436,-1.277061255,1.103008595,1.7568823,1.992621738,0.456328239,-0.651403132,-1.908937372,-1.384812849,1.813870052,0.328371559,1.062659998,0.752961917,-1.381185598,-1.124053303,-0.522854636,-1.071047378,0.048674762,-1.87709123,1.134600464,1.503695239,0.035374544,3,0
-7.860728033,-13.03378543,1.318390728,-5.539248951,-5.347646251,7.098044794,0.934120178,1.980496337,-3.801553236,0.618238294,0.674863399,-0.500037112,4.597557091,-2.123364582,-1.506638306,-3.49517103,-0.480325676,-0.051645932,-2.721189269,1.478795894,-1.678429837,2.196681956,-1.320822924,-2.120402756,-0.205828798,-0.156408184,1.625770631,0.49010933,-0.226122579,0.064195704,1.391869309,-0.705839473,0.797278838,-0.993495522,-1.406822593,-0.731079788,-0.273268972,-0.989576823,0.266419663,-1.177646379,2.234966071,-0.640749535,1.116824134,3,0
-11.88796476,-12.25527888,0.654157266,-0.943040762,-4.097707369,2.827814267,-6.09879988,6.561642702,-3.432791002,-2.064265849,-1.726593903,0.349519677,0.328118799,-2.755197074,0.747949583,-1.660740747,-3.334578775,0.986267652,-1.810308475,-1.010620526,-0.244532419,0.638400632,0.397507383,0.513280182,1.132591396,0.822236615,0.875747297,-0.51236204,-1.291713017,0.966275567,-1.64731108,0.408666567,-0.453793432,0.574070044,2.346491661,-0.525346088,0.840433714,-0.887317769,1.302212268,0.757474074,2.721311189,-0.320100056,-0.517027652,3,0
-8.243177374,-13.13691211,-1.609732293,-2.497483347,-2.662078274,3.369698426,-1.356722354,6.469000286,-4.383449227,0.062227598,-4.511567684,-0.117409193,0.173489061,-0.99897778,-0.803589639,-0.636131029,-3.52675848,-1.540355484,-3.296049211,-1.11656496,1.171033127,-0.546976292,0.711541938,-0.846040635,0.470267818,0.54210249,-2.203638597,-0.825898691,0.719658429,2.338206162,0.090928457,-0.577511497,1.175021544,0.047103085,-1.166640767,-1.678430357,0.594630116,-0.691428886,-1.375243237,-0.381870619,-0.652909348,-0.274860983,2.009561885,3,0
-10.93695293,-10.30238847,-0.790703011,-6.317502898,-1.748017507,7.204106212,1.740762403,2.35855295,-1.401342002,-3.824328829,3.000288081,-0.98413105,3.739370375,-1.555098491,1.488263921,-3.272763352,-3.306423309,2.936703192,-0.762943718,-0.400295864,-1.110718613,1.580637586,-0.684899909,-3.213784671,-0.632336609,-1.409300166,0.340771714,-2.538251891,-0.901692147,-0.660813679,0.268871153,0.91212366,1.662955793,0.541942909,0.002510867,0.452971238,0.877156115,-0.638034807,-0.564624102,-2.442212904,1.971934942,-0.660610208,0.125971834,3,0
-1.909435419,0.112195498,-0.410011662,-10.40372069,-4.533281971,9.203547089,8.685062506,9.354212764,5.049052949,3.044397179,-4.311165668,-1.911217439,0.691460507,-1.818531382,-5.33841966,3.476295733,-5.565901427,3.258180514,-1.812452975,-3.94850918,3.97023607,6.674493316,-1.648597135,-0.155277047,-3.636886951,-3.328886222,-3.10784367,-0.181448381,0.272696169,1.693415393,2.798826446,0.563126001,-1.088848998,1.804486947,-0.383848421,1.9010004,0.183839216,-1.838457264,-0.032724406,0.640227773,0.127058306,-0.39701963,-1.995930352,3,0
-10.50972789,-14.34092073,-3.389928688,-2.02143053,1.15776491,6.705871628,-3.785461327,1.240722817,2.502047219,3.372924689,-0.586461051,4.464983811,1.128778203,1.274269859,2.416434081,-1.703120506,-2.352549117,1.700074766,4.791440826,-1.898870213,-2.068413194,0.946594312,-2.273901439,0.100890998,-1.478461074,1.038443574,1.332356463,-0.987603068,-1.895986793,-3.811459364,-0.002049611,-0.088694818,1.458448072,0.846725459,-1.605150386,0.177951576,-0.540502904,-2.932953328,-0.587782781,-0.266306208,1.294904778,0.291751964,-0.633205456,3,0
-10.77504448,-13.77629914,-3.675906463,-3.515707914,-2.965620874,6.999344889,0.227853129,2.984773751,-3.139489513,-3.621569851,2.014004072,0.60659193,3.324918765,1.955316466,0.470254803,-3.69427869,-3.929842106,1.151566701,4.061672789,3.15979328,-3.007083005,2.196651577,0.715686325,-0.118468113,0.80172971,0.496708774,0.679842593,-1.310497317,-3.093119792,0.788499582,-0.688297638,0.108807069,1.332871845,-0.404617322,0.59548523,-0.678618312,2.178155603,-1.080641165,-0.609973741,-1.068738549,-0.503111096,-1.322115092,1.513058338,3,0
-10.41454506,-14.57504342,-3.756525839,-5.106447913,0.188249024,7.926492383,-4.39333486,0.705679398,4.70186945,6.27216451,1.178106347,4.123563542,3.545408153,0.849044638,2.006565742,-3.962217699,-1.244667597,1.562374457,7.096301346,0.740955141,-5.389564687,3.022321251,-1.009376341,0.94136938,-0.78770258,1.965596854,0.117111852,-1.026992131,-1.23321696,-2.280482715,1.791060171,-1.252145149,0.270867867,0.461688639,0.260251899,1.737679049,1.059900387,-1.653733757,2.810716389,1.260756682,-1.79488452,3.087453438,-2.268677007,3,0
-9.969004072,-13.43908089,-2.972531671,-2.83701061,-0.312271775,3.360872951,-7.253529917,3.794823015,1.287639534,0.958505661,-5.579180621,1.683170644,-0.147904474,-3.233190204,-1.500933359,-1.193473962,0.431532564,-0.576234345,-2.185809556,-3.505367554,-2.476502284,0.324025072,0.85716653,-0.069000679,-1.024762037,-0.165504966,1.043581354,1.497032814,-1.141621493,-2.206967073,1.054266595,-0.447350829,1.844945678,-1.336853908,-3.210167151,0.52534785,1.309810518,0.455710104,-0.1919709,1.073094321,0.374723335,1.249335884,0.816142361,3,0
